created_at,"field1(Temperature ºC )",field2(Humidity),field3(Voltage),"field4(WIFI RSSI)","field5(GSM RSSI)",field6(Light),"field7(RS485 Temperature ºC )","field8(RS485 Humidity)","field9(Presión atmosférica)","field10(RS485 Soil Moisture)","field11(External Light)","field12(PT100 Temperature ºC )","field13(Wind Speed)","field14(Carbon Dioxide)","field15(RS485 Atmospheric Pressure)",status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-03-20T00:11:38-05:00,21.3149,72.9259,,,,0,,,,,,,,,,,,,,,,A9973XDGS1A,,,
2025-03-20T00:11:54-05:00,,,3.7185,,,,,,,,,,,,,,,,,,,A9973XDGS1A,,,
2025-03-20T00:11:59-05:00,,,,,,,,,101.8,,,,,,,,,,,,,A9973XDGS1A,,,
2025-03-20T01:11:38-05:00,21.0452,73.5988,,,,0,,,,,,,,,,,,,,,,A9973XDGS1A,,,
2025-03-20T01:11:55-05:00,,,3.7185,,,,,,,,,,,,,,,,,,,A9973XDGS1A,,,
2025-03-20T01:12:00-05:00,,,,,,,,,101.8,,,,,,,,,,,,,A9973XDGS1A,,,
2025-03-20T02:11:38-05:00,20.877,73.7591,,,,0,,,,,,,,,,,,,,,,A9973XDGS1A,,,
2025-03-20T02:11:55-05:00,,,3.7185,,,,,,,,,,,,,,,,,,,A9973XDGS1A,,,
2025-03-20T02:12:00-05:00,,,,,,,,,101.7,,,,,,,,,,,,,A9973XDGS1A,,,
2025-03-20T02:50:03-05:00,,,,-75,,,,,,,,,,,,,,,,,,A9973XDGS1A,,,
2025-03-20T03:11:40-05:00,20.7355,74.2351,,,,0,,,,,,,,,,,,,,,,A9973XDGS1A,,,
2025-03-20T03:11:55-05:00,,,3.7148,,,,,,,,,,,,,,,,,,,A9973XDGS1A,,,
2025-03-20T03:12:01-05:00,,,,,,,,,101.7,,,,,,,,,,,,,A9973XDGS1A,,,
2025-03-20T04:11:40-05:00,20.5779,74.5907,,,,0,,,,,,,,,,,,,,,,A9973XDGS1A,,,
2025-03-20T04:11:56-05:00,,,3.7185,,,,,,,,,,,,,,,,,,,A9973XDGS1A,,,
2025-03-20T04:12:01-05:00,,,,,,,,,101.7,,,,,,,,,,,,,A9973XDGS1A,,,
