created_at,"field1(Temperatura ºC )",field2(Humedad),field3(Voltage),"field4(WIFI RSSI)","field5(GSM RSSI)",field6(Light),"field7(RS485 Temperature ºC )","field8(RS485 Humidity)","field9(Presión atmosférica)","field10(tem 485 ºC )","field11(External Light)","field12(PT100 Temperature ºC )","field13(Wind Speed)","field14(Carbon Dioxide)","field15(RS485 Atmospheric Pressure)",status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-03-20T00:15:00-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T00:15:13-05:00,24.9279,45.034,,,,62.85,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T00:15:18-05:00,,,,-35,,,,,101.9,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T01:15:00-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T01:15:14-05:00,24.6769,44.9653,,,,63,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T01:15:18-05:00,,,,,,,,,101.8,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T01:15:29-05:00,,,,,,,,,,,,,,,,,,,,,,VR032M0GS1A,507,,
2025-03-20T02:15:01-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T02:15:14-05:00,24.3511,44.6159,,,,63.45,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T02:15:16-05:00,,,,,,,,,,,,,,,,,,,,"c8:1f:be:be:a8:17,-36;88:66:39:5d:00:cf,-39;50:1d:94:a1:bb:2c,-41;c8:1f:be:af:85:9d,-43;68:e2:09:8b:90:74,-50",,VR032M0GS1A,,,
2025-03-20T02:15:18-05:00,,,,,,,,,101.8,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T02:15:21-05:00,,,,-35,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T03:15:01-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T03:15:14-05:00,24.2363,44.6998,,,,57,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T03:15:18-05:00,,,,-34,,,,,101.7,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T04:15:01-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T04:15:15-05:00,24.1802,44.2588,,,,55.65,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T04:15:19-05:00,,,,-39,,,,,101.8,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T05:15:01-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T05:15:16-05:00,23.9986,44.2741,,,,55.95,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T05:15:20-05:00,,,,-37,,,,,101.8,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T06:15:01-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T06:15:16-05:00,23.9292,44.0314,,,,62.1,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T06:15:20-05:00,,,,,,,,,101.8,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T06:15:24-05:00,,,,-33,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T07:15:02-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T07:15:16-05:00,23.7156,45.6138,,,,61.65,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T07:15:19-05:00,,,,-33,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T07:15:20-05:00,,,,,,,,,101.9,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-20T08:15:02-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
