created_at,"field1(Temperatura ºC )",field2(Humedad),field3(Voltage),"field4(WIFI RSSI)","field5(GSM RSSI)",field6(Light),"field7(RS485 Temperature ºC )","field8(RS485 Humidity)","field9(Presión atmosférica)","field10(RS485 Soil Moisture)","field11(External Light)","field12(PT100 Temperature ºC )","field13(Wind Speed)","field14(Carbon Dioxide)","field15(RS485 Atmospheric Pressure)",status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-03-20T00:49:01-05:00,21.3977,50.0008,3.8924,,,276.6,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T00:49:06-05:00,,,,,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T00:49:10-05:00,,,,-68,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T01:49:01-05:00,21.2161,49.9992,3.8924,,,33.9,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T01:49:04-05:00,,,,-42,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T01:49:06-05:00,,,,,,,,,101.7,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T02:49:02-05:00,20.9037,48.8777,3.8924,,,33.9,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T02:49:06-05:00,,,,,,,,,101.7,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T02:49:17-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-03-20T03:49:02-05:00,20.7355,51.9005,3.8924,,,33.75,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T03:49:05-05:00,,,,,,,,,,,,,,,,,,,,"04:d4:c4:36:a9:c0,-41;d4:5d:64:ea:85:20,-64;40:b0:76:af:1c:68,-66;58:9b:f9:58:cd:50,-71;04:d4:c4:36:9e:78,-72",,X8A835VGS1A,,,
2025-03-20T03:49:07-05:00,,,,,,,,,101.7,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T03:49:08-05:00,,,,-46,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T04:49:02-05:00,20.6794,50.6691,3.8924,,,19.95,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T04:49:05-05:00,,,,-42,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T04:49:07-05:00,,,,,,,,,101.7,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T05:49:03-05:00,20.5219,52.1294,3.8924,,,276.45,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T05:49:06-05:00,,,,-40,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T05:49:08-05:00,,,,,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T06:49:04-05:00,20.7755,50.1595,3.8924,,,284.25,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T06:49:09-05:00,,,,,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T06:49:12-05:00,,,,-48,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T07:49:05-05:00,21.2295,51.9631,3.8924,,,311.7,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T07:49:09-05:00,,,,-53,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T07:49:10-05:00,,,,,,,,,101.9,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T08:49:06-05:00,21.2161,51.8822,3.8924,,,223.2,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T08:49:11-05:00,,,,-53,,,,,101.9,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T09:49:07-05:00,21.5953,50.3105,3.8924,,,154.35,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T09:49:11-05:00,,,,,,,,,101.9,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T09:49:23-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,502,,
2025-03-20T09:49:24-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-03-20T10:49:07-05:00,22.0893,51.9875,3.8924,,,144.15,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T10:49:12-05:00,,,,,,,,,101.9,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T10:49:25-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-03-20T11:49:07-05:00,22.4872,53.0709,3.8924,,,83.7,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T11:49:10-05:00,,,,,,,,,,,,,,,,,,,,"04:d4:c4:36:a9:c0,-41;98:35:ed:1e:e6:6d,-70;b6:01:e8:c8:21:c1,-72;d4:5d:64:ea:85:20,-73;40:b0:76:af:1c:68,-74",,X8A835VGS1A,,,
2025-03-20T11:49:12-05:00,,,,,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T11:49:22-05:00,,,,-74,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T12:49:08-05:00,22.4445,50.5913,3.8887,,,143.25,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T12:49:13-05:00,,,,,,,,,101.7,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T12:49:17-05:00,,,,-52,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T13:49:07-05:00,22.3724,50.8019,3.8887,,,134.1,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T13:49:12-05:00,,,,-69,,,,,101.6,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T14:49:08-05:00,22.2442,50.8965,3.8887,,,118.35,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T14:49:13-05:00,,,,,,,,,101.6,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T14:49:22-05:00,,,,-69,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T14:49:36-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,503,,
2025-03-20T14:49:37-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-03-20T15:49:08-05:00,22.3457,51.9585,3.8924,,,99.9,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T15:49:12-05:00,,,,,,,,,101.5,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T15:49:23-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-03-20T16:49:08-05:00,22.4872,49.4682,3.8887,,,91.95,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T16:49:13-05:00,,,,,,,,,101.5,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T16:49:26-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-03-20T17:49:07-05:00,22.2763,48.6,3.8887,,,66.15,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T17:49:12-05:00,,,,,,,,,101.6,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T17:49:25-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-03-20T18:49:08-05:00,22.3724,47.1992,3.8887,,,337.05,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T18:49:13-05:00,,,,,,,,,101.7,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T18:49:27-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-03-20T19:49:09-05:00,22.4712,46.9795,3.8887,,,328.8,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T19:49:12-05:00,,,,,,,,,,,,,,,,,,,,"04:d4:c4:36:a9:c0,-42;40:b0:76:af:1c:68,-66;98:35:ed:1e:e6:6d,-66;d4:5d:64:ea:85:20,-66;4c:ed:fb:7a:89:00,-75",,X8A835VGS1A,,,
2025-03-20T19:49:13-05:00,,,,,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T19:49:24-05:00,,,,-71,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T20:49:09-05:00,21.8784,50.2785,3.8887,,,334.8,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T20:49:13-05:00,,,,,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T20:49:24-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,502,,
2025-03-20T20:49:25-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-03-20T21:49:09-05:00,21.8917,49.4423,3.8887,,,336.6,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T21:49:14-05:00,,,,,,,,,101.9,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T21:49:27-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-03-20T22:49:09-05:00,21.6781,47.5746,3.8887,,,333.3,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T22:49:14-05:00,,,,,,,,,101.9,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T22:49:27-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-03-20T23:49:09-05:00,21.7369,48.4535,3.8887,,,324.75,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T23:49:14-05:00,,,,,,,,,101.9,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-20T23:49:27-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-03-21T00:49:10-05:00,21.6648,47.7073,3.885,,,337.8,,,,,,,,,,,,,,,,X8A835VGS1A,,,
